"CD_GEOCMU";"OBJECTID";"NM_MUNICIP";"Municipio";"Area_km2";"Estado";"Area";"reg_saude"
"4200051";1;"ABDON BATISTA";"Abdon Batista";"237.28";"SC";237283268599;"Meio Oeste"
"4200101";2;"ABELARDO LUZ";"Abelardo Luz";"955.55";"SC";955552295764;"Xanxerê"
"4200200";3;"AGROLÂNDIA";"Agrolândia";"207.13";"SC";207129942187;"Alto Vale do Itajaí"
"4200309";4;"AGRONÔMICA";"Agronômica";"129.55";"SC";129547291297;"Alto Vale do Itajaí"
"4200408";5;"ÁGUA DOCE";"Água Doce";"1309.36";"SC";"1309358477.84";"Meio Oeste"
"4200507";6;"ÁGUAS DE CHAPECÓ";"Águas de Chapecó";"138.89";"SC";138892295065;"Oeste"
"4200556";7;"ÁGUAS FRIAS";"Águas Frias";"75.86";"SC";75860654736;"Oeste"
"4200606";8;"ÁGUAS MORNAS";"Águas Mornas";"325.73";"SC";325731659116;"Grande Florianópolis"
"4200705";9;"ALFREDO WAGNER";"Alfredo Wagner";"731.06";"SC";731064649543;"Grande Florianópolis"
"4200754";10;"ALTO BELA VISTA";"Alto Bela Vista";"102.73";"SC";102727062377;"Alto Uruguai Catarinense"
"4200804";11;"ANCHIETA";"Anchieta";"232.38";"SC";232384684144;"Extremo Oeste"
"4200903";12;"ANGELINA";"Angelina";"501.76";"SC";501757857761;"Grande Florianópolis"
"4201000";13;"ANITA GARIBALDI";"Anita Garibaldi";"587.34";"SC";587336000652;"Serra Catarinense"
"4201109";14;"ANITÁPOLIS";"Anitápolis";"544.25";"SC";544251256949;"Grande Florianópolis"
"4201208";15;"ANTÔNIO CARLOS";"Antônio Carlos";"233.17";"SC";233171922741;"Grande Florianópolis"
"4201257";16;"APIÚNA";"Apiúna";"493.37";"SC";493366337169;"Médio Vale do Itajaí"
"4201273";17;"ARABUTÃ";"Arabutã";"132.6";"SC";132595269222;"Alto Uruguai Catarinense"
"4201307";18;"ARAQUARI";"Araquari";"373.52";"SC";373517565808;"Nordeste"
"4201406";19;"ARARANGUÁ";"Araranguá";"304.95";"SC";304948645066;"Extremo Sul Catarinense"
"4201505";20;"ARMAZÉM";"Armazém";"173.3";"SC";173299063771;"Laguna"
"4201604";21;"ARROIO TRINTA";"Arroio Trinta";"94.18";"SC";94180981225;"Alto Vale do Rio do Peixe"
"4201653";22;"ARVOREDO";"Arvoredo";"89.8";"SC";89800560122;"Oeste"
"4201703";23;"ASCURRA";"Ascurra";"111.13";"SC";111127640643;"Médio Vale do Itajaí"
"4201802";24;"ATALANTA";"Atalanta";"94.15";"SC";94150984451;"Alto Vale do Itajaí"
"4201901";25;"AURORA";"Aurora";"206.52";"SC";206523849272;"Alto Vale do Itajaí"
"4201950";26;"BALNEÁRIO ARROIO DO SILVA";"Balneário Arroio do Silva";"94.2";"SC";94195044081;"Extremo Sul Catarinense"
"4202008";27;"BALNEÁRIO CAMBORIÚ";"Balneário Cambouriú";"46.9";"SC";46902206574;"Foz do Rio Itajaí"
"4202057";28;"BALNEÁRIO BARRA DO SUL";"Balneário Barra do Sul";"103.26";"SC";103256856108;"Nordeste"
"4202073";29;"BALNEÁRIO GAIVOTA";"Balneário Gaivota";"147.97";"SC";147967174834;"Extremo Sul Catarinense"
"4202081";30;"BANDEIRANTE";"Bandeirante";"146.01";"SC";146006135558;"Extremo Oeste"
"4202099";31;"BARRA BONITA";"Barra Bonita";"93.46";"SC";93464631678;"Extremo Oeste"
"4202107";32;"BARRA VELHA";"Barra Velha";"139.95";"SC";139949244357;"Vale do Itapocu"
"4202131";33;"BELA VISTA DO TOLDO";"Bela Vista do Toldo";"538.54";"SC";538536375024;"Planalto Norte"
"4202156";34;"BELMONTE";"Belmonte";"93.65";"SC";93645021966;"Extremo Oeste"
"4202206";35;"BENEDITO NOVO";"Benedito Novo";"388.52";"SC";"388517347.02";"Médio Vale do Itajaí"
"4202305";36;"BIGUAÇU";"Biguaçu";318;"SC";318001660737;"Grande Florianópolis"
"4202404";37;"BLUMENAU";"Blumenau";"519.9";"SC";519903307432;"Médio Vale do Itajaí"
"4202438";38;"BOCAINA DO SUL";"Bocaina do Sul";"511.51";"SC";511511867194;"Serra Catarinense"
"4202453";39;"BOMBINHAS";"Bombinhas";"35.19";"SC";"35190419.74";"Foz do Rio Itajaí"
"4202503";40;"BOM JARDIM DA SERRA";"Bom Jardim da Serra";"937.8";"SC";937797055428;"Serra Catarinense"
"4202537";41;"BOM JESUS";"Bom Jesus";"63.46";"SC";63455638617;"Xanxerê"
"4202578";42;"BOM JESUS DO OESTE";"Bom Jesus do Oeste";"67.7";"SC";67700209098;"Extremo Oeste"
"4202602";43;"BOM RETIRO";"Bom Retiro";"1055.56";"SC";"1055563085.42";"Serra Catarinense"
"4202701";44;"BOTUVERÁ";"Botuverá";"295.68";"SC";295678421607;"Médio Vale do Itajaí"
"4202800";45;"BRAÇO DO NORTE";"Braço do Norte";"211.5";"SC";211504985768;"Laguna"
"4202859";46;"BRAÇO DO TROMBUDO";"Braço do Trombudo";"89.55";"SC";89554243481;"Alto Vale do Itajaí"
